,event,code,prizepool,date,location,nteams
21,aorus-league-2019-southern-cone-main-qualifier,4426,1 spot to LAN Finals,Feb 11th,South America (Online),8
22,ecs-season-7-europe-challenger-cup-open-qualifier-2,4430,2 spots in ECS S7 EU Challenger Cup,Feb 20th,Europe (Online),8+
23,ecs-season-7-north-america-challenger-cup-open-qualifier-2,4437,2 spots in ECS S7 NA Challenger Cup,Feb 18th,North America (Online),4+
24,dell-gaming-liga-pro-season-1-2-feb-19,4407,TBA,Feb 11th,South America (Online),8
25,ecs-season-7-europe-challenger-cup-open-qualifier-1,4429,2 spots in ECS S7 EU Challenger Cup,Feb 17th 2019,Europe (Online),8+
26,esl-australia-nz-championship-season-8-qualifier-2,4383,1 spot at ESL AU&NZ Season 8,Feb 17th 2019,Oceania (Online),2+
27,ecs-season-7-north-america-challenger-cup-open-qualifier-1,4436,2 spots in ECS S7 NA Challenger Cup,Feb 16th,North America (Online),4+
28,alienware-game-arena-2019-split-1,4417,"$7,000",Feb 16th,Europe (Online),4
29,iem-katowice-2019-main-qualifier,3884,8 spots at IEM Katowice,Feb 13th,"Katowice, Poland",16
30,dreamhack-leipzig-winternational,4379,"$11,300",Feb 16th 2019,"Leipzig, Germany",4
31,qiwi-teamplay-season-3,4376,"$7,530",Jan 22nd,Europe (Online),8
32,wesg-2018-japan-finals,4404,"$24,000 + 1 spot at WESG 2018 World Finals",Feb 10th 2019,"Tokyo, Japan",2
33,esl-australia-nz-championship-season-8-qualifier-1,4382,1 spot at ESL AU&NZ Season 8,Feb 10th 2019,Oceania (Online),2+
34,samsung-goexanimo-csgo-5x5-15,4427,"$1,250",Feb 10th 2019,"Riga, Latvia",4
35,esl-la-league-season-3-northern-cone,4391,1 spot at LA L,Feb 9th,South America (Online),6
36,epic26,4425,"$6,750",Feb 9th,"Kettering, United Kingdom",6+
37,lan-ets-2019,4428,"$7,500",Feb 8th,"Montreal, Canada",2+
38,esl-la-league-season-3-southern-cone,4408,1 spot to LAN Finals,Feb 5th,South America (Online),7
39,lootbet-hotshot-series-season-1,4346,"$15,000",Feb 3rd,Europe (Online),16
40,oga-counter-pit-season-4,4394,"$20,000",Jan 29th,Europe (Online),8
41,iem-sydney-2019-north-america-closed-qualifier,4356,1 spot at IEM Sydney,Feb 6th,North America (Online),8
42,iem-sydney-2019-europe-closed-qualifier,4353,1 spot at IEM Sydney,Feb 6th,Europe (Online),8
43,esl-la-league-season-3-brazil,4405,"$5,700 + 2 spots for LAN Finals",Feb 4th,Brazil (Online),8
44,ggbet-ice-challenge,4406,"$50,000",Feb 5th,"London, United Kingdom",4
45,esl-india-premiership-2018-winter-finals,4393,"$14,050",Feb 4th,"New Delhi, India",4
46,lpl-pro-league-season-1-qualifier,4378,4 spots in LPL Pro League,Jan 27th,Oceania (Online),6+
47,iem-sydney-2019-north-america-open-qualifier-2,4355,2 spots in Closed Qualifier,Feb 2nd,North America (Online),4+
48,iem-sydney-2019-europe-open-qualifier-2,4352,2 spots in Closed Qualifier,Feb 2nd,Europe (Online),16+
49,weplay-lock-and-load,4349,"$50,000",Jan 30th,Europe (Online),12
