,matchcode,team,map,priority
478,2330015,Vexed,Nuke,3
479,2330015,Windigo,Inferno,4
480,2330399,ALTERNATE aTTaX,Nuke,1
481,2330399,EURONICS,Inferno,2
482,2330399,ALTERNATE aTTaX,Mirage,3
483,2330399,EURONICS,Train,4
484,2330398,expert,Overpass,1
485,2330398,3DMAX,Train,2
486,2330398,expert,Mirage,3
487,2330398,3DMAX,Nuke,4
488,2330397,LDLC,Train,1
489,2330397,Red Reserve,Inferno,2
490,2330397,LDLC,Mirage,3
491,2330397,Red Reserve,Overpass,4
492,2330396,AGO,Nuke,1
493,2330396,Red Reserve,Inferno,2
494,2330396,AGO,Dust2,3
495,2330396,Red Reserve,Train,4
496,2330010,3DMAX,Nuke,1
497,2330010,LDLC,Cache,2
498,2330010,3DMAX,Train,3
499,2330010,LDLC,Mirage,4
500,2330395,expert,Overpass,1
501,2330395,AGO,Nuke,2
502,2330395,expert,Mirage,3
503,2330395,AGO,Dust2,4
504,2330367,Vexed,Nuke,1
505,2330367,Tricked,Overpass,2
506,2330367,Vexed,Dust2,3
507,2330367,Tricked,Cache,4
508,2330365,LDLC,Train,1
509,2330365,EURONICS,Inferno,2
510,2330365,LDLC,Nuke,3
511,2330365,EURONICS,Cache,4
512,2330364,Tricked,Cache,1
513,2330364,3DMAX,Train,2
514,2330364,Tricked,Inferno,3
515,2330364,3DMAX,Nuke,4
516,2330360,AGO,Mirage,1
517,2330360,Vexed,Dust2,2
518,2330360,AGO,Nuke,3
519,2330360,Vexed,Inferno,4
520,2330359,Red Reserve,Inferno,1
521,2330359,3DMAX,Cache,2
522,2330359,Red Reserve,Mirage,3
523,2330359,3DMAX,Train,4
524,2330358,Sprout,Overpass,1
525,2330358,HAVU,Inferno,2
526,2330358,Sprout,Cache,3
527,2330358,HAVU,Nuke,4
528,2330357,x6tence Galaxy,Train,1
529,2330357,expert,Overpass,2
530,2330357,x6tence Galaxy,Dust2,3
531,2330357,expert,Mirage,4
532,2330335,LDLC,Train,1
533,2330335,Vexed,Dust2,2
534,2330335,LDLC,Overpass,3
535,2330335,Vexed,Nuke,4
536,2330334,x6tence Galaxy,Train,1
537,2330334,ALTERNATE aTTaX,Nuke,2
538,2330334,x6tence Galaxy,Cache,3
539,2330334,ALTERNATE aTTaX,Mirage,4
540,2330319,Tricked,Cache,1
541,2330319,Red Reserve,Inferno,2
542,2330319,Tricked,Overpass,3
543,2330319,Red Reserve,Train,4
544,2330318,AGO,Nuke,1
545,2330318,Sprout,Overpass,2
546,2330318,AGO,Dust2,3
547,2330318,Sprout,Mirage,4
548,2330317,HAVU,Inferno,1
549,2330317,expert,Overpass,2
550,2330317,HAVU,Cache,3
551,2330317,expert,Mirage,4
552,2330011,Red Reserve,Nuke,1
553,2330011,Sprout,Overpass,2
554,2330011,Red Reserve,Inferno,3
555,2330011,Sprout,Cache,4
556,2330299,expert,Overpass,1
557,2330299,Tricked,Cache,2
558,2330299,expert,Mirage,3
559,2330299,Tricked,Nuke,4
560,2330298,x6tence Galaxy,Train,1
561,2330298,AGO,Nuke,2
562,2330298,x6tence Galaxy,Dust2,3
563,2330298,AGO,Inferno,4
564,2330297,Sprout,Overpass,1
565,2330297,Tricked,Cache,2
566,2330297,Sprout,Mirage,3
567,2330297,Tricked,Nuke,4
568,2330272,HAVU,Inferno,1
569,2330272,EURONICS,Train,2
570,2330272,HAVU,Overpass,3
571,2330272,EURONICS,Dust2,4
572,2330271,Red Reserve,Inferno,1
573,2330271,Vexed,Dust2,2
574,2330271,Red Reserve,Train,3
575,2330271,Vexed,Nuke,4
576,2330270,x6tence Galaxy,Dust2,1
577,2330270,3DMAX,Overpass,2
578,2330270,x6tence Galaxy,Cache,3
579,2330270,3DMAX,Nuke,4
580,2330269,HAVU,Inferno,1
581,2330269,Valiance,Overpass,2
582,2330269,HAVU,Mirage,3
583,2330269,Valiance,Train,4
584,2330204,expert,Mirage,1
585,2330204,Vexed,Nuke,2
586,2330204,expert,Overpass,3
587,2330204,Vexed,Dust2,4
588,2330203,EURONICS,Inferno,1
589,2330203,Valiance,Overpass,2
590,2330203,EURONICS,Train,3
591,2330203,Valiance,Dust2,4
592,2329638,x6tence Galaxy,Train,1
593,2329638,Vexed,Nuke,2
594,2329638,x6tence Galaxy,Dust2,3
595,2329638,Vexed,Cache,4
596,2330016,ALTERNATE aTTaX,Dust2,1
597,2330016,AGO,Cache,2
598,2330016,ALTERNATE aTTaX,Mirage,3
599,2330016,AGO,Nuke,4
600,2330178,3DMAX,Nuke,1
601,2330178,expert,Overpass,2
602,2330178,3DMAX,Train,3
603,2330178,expert,Mirage,4
604,2330171,ALTERNATE aTTaX,Nuke,1
605,2330171,HAVU,Inferno,2
606,2330171,ALTERNATE aTTaX,Dust2,3
607,2330171,HAVU,Overpass,4
608,2330170,AGO,Nuke,1
609,2330170,expert,Overpass,2
610,2330170,AGO,Dust2,3
611,2330170,expert,Mirage,4
612,2330019,Windigo,Dust2,1
613,2330019,AGO,Inferno,2
614,2330019,Windigo,Mirage,3
615,2330019,AGO,Nuke,4
616,2330018,EURONICS,Cache,1
617,2330018,3DMAX,Train,2
618,2330018,EURONICS,Nuke,3
619,2330018,3DMAX,Overpass,4
620,2330017,Sprout,Cache,1
621,2330017,Valiance,Inferno,2
622,2330017,Sprout,Mirage,3
623,2330017,Valiance,Nuke,4
624,2330041,3DMAX,Train,1
625,2330041,AGO,Nuke,2
626,2330041,3DMAX,Overpass,3
627,2330041,AGO,Cache,4
628,2330014,Valiance,Overpass,1
629,2330014,Red Reserve,Train,2
630,2330014,Valiance,Cache,3
631,2330014,Red Reserve,Inferno,4
632,2330013,ALTERNATE aTTaX,Nuke,1
633,2330013,Sprout,Overpass,2
634,2330013,ALTERNATE aTTaX,Train,3
635,2330013,Sprout,Cache,4
636,2330012,Vexed,Nuke,1
637,2330012,EURONICS,Train,2
638,2330012,Vexed,Dust2,3
639,2330012,EURONICS,Mirage,4
640,2329825,Vexed,Dust2,1
641,2329825,Red Reserve,Inferno,2
642,2329825,Vexed,Overpass,3
643,2329825,Red Reserve,Mirage,4
644,2330009,ALTERNATE aTTaX,Cache,1
645,2330009,Valiance,Overpass,2
646,2330009,ALTERNATE aTTaX,Mirage,3
647,2330009,Valiance,Inferno,4
648,2330008,Windigo,Nuke,1
649,2330008,HAVU,Inferno,2
650,2330008,Windigo,Train,3
