,matchcode,team,map,priority
549,2330646,AVANGAR,Cache,4
550,2330645,Natus Vincere,Overpass,3
551,2330645,Heroic,Nuke,4
552,2330671,TeamOne,Train,3
553,2330671,Bad News Bears,Mirage,4
554,2330672,Swole Patrol,Dust2,3
555,2330672,INTZ,Mirage,4
556,2330690,Gambit,Dust2,3
557,2330690,OpTic,Mirage,4
558,2330689,expert,Nuke,3
559,2330689,3DMAX,Mirage,4
560,2330648,HellRaisers,Cache,3
561,2330648,Vitality,Dust2,4
562,2330647,OpTic,Nuke,3
563,2330647,Vitality,Overpass,4
564,2330644,BIG,Overpass,3
565,2330644,HellRaisers,Inferno,4
566,2330635,Vitality,Dust2,3
567,2330635,pro100,Nuke,4
568,2330634,HellRaisers,Inferno,3
569,2330634,FURIA,Cache,4
570,2330633,Spirit,Mirage,3
571,2330633,BIG,Dust2,4
572,2330632,Virtus.pro,Train,3
573,2330632,OpTic,Nuke,4
574,2330610,Kinguin,Nuke,3
575,2330610,pro100,Cache,4
576,2330609,Winstrike,Nuke,3
577,2330609,FURIA,Mirage,4
578,2330567,Heroic,Mirage,3
579,2330567,FURIA,Overpass,4
580,2330566,Gambit,Dust2,3
581,2330566,Kinguin,Mirage,4
582,2330627,HAVU,Dust2,3
583,2330627,ENCE,Train,4
584,2330626,SJ,Train,3
585,2330626,ALTERNATE aTTaX,Dust2,4
586,2330622,HAVU,Dust2,3
587,2330622,ALTERNATE aTTaX,Inferno,4
588,2330621,SJ,Overpass,3
589,2330621,ENCE,Mirage,4
590,2330460,TORI,Inferno,3
591,2330460,HAVU,Train,4
592,2330459,repskops,Mirage,3
593,2330459,SJ,Train,4
594,2330597,Win Scrims Not Matches,Dust2,3
595,2330597,TeamOne,Train,4
596,2330598,Singularity,Inferno,3
597,2330598,eUnited,Overpass,4
598,2330605,Valiance,Mirage,3
599,2330605,OpTic,Nuke,4
600,2330604,Winstrike,Nuke,3
601,2330604,forZe,Mirage,4
602,2330226,North,Dust2,3
603,2330226,ViCi,Inferno,4
604,2330225,Envy,Train,3
605,2330225,North,Mirage,4
606,2330439,FaZe,Mirage,3
607,2330439,Cloud9,Inferno,4
608,2330438,BIG,Cache,3
609,2330438,FaZe,Train,4
610,2330437,BIG,Cache,3
611,2330437,Cloud9,Overpass,4
612,2330436,FaZe,Train,3
613,2330436,compLexity,Cache,4
614,2330435,BIG,Overpass,3
615,2330435,compLexity,Cache,4
616,2330434,Cloud9,Overpass,3
617,2330434,FaZe,Mirage,4
618,2330288,Envy,Overpass,3
619,2330288,FURIA,Cache,4
620,2330287,NRG,Inferno,3
621,2330287,FURIA,Cache,4
622,2330286,Envy,Dust2,3
623,2330286,INTZ,Train,4
624,2330285,INTZ,Train,3
625,2330285,FURIA,Mirage,4
626,2330284,NRG,Overpass,3
627,2330284,Envy,Mirage,4
628,2330282,Bravado,Inferno,3
629,2330282,INTZ,Mirage,4
630,2330283,TeamOne,Train,3
631,2330283,Envy,Dust2,4
632,2330280,Imperial,Overpass,3
633,2330280,INTZ,Inferno,4
634,2330281,eUnited,Cache,3
635,2330281,TeamOne,Inferno,4
636,2330279,FURIA,Inferno,3
637,2330279,Envy,Mirage,4
638,2330278,NRG,Inferno,3
639,2330278,Bravado,Train,4
640,2330221,Grayhound,Overpass,3
641,2330221,ViCi,Mirage,4
642,2330220,Renegades,Inferno,3
643,2330220,Grayhound,Mirage,4
644,2330219,MVP PK,Mirage,3
645,2330219,ViCi,Train,4
646,2330218,MVP PK,Nuke,3
647,2330218,Grayhound,Cache,4
648,2330217,Renegades,Mirage,3
649,2330217,ViCi,Inferno,4
650,2330215,Grayhound,Overpass,3
651,2330215,CyberZen,Inferno,4
652,2330216,GOSU,Mirage,3
653,2330216,ViCi,Train,4
654,2330213,Aequus,Mirage,3
655,2330213,CyberZen,Inferno,4
656,2330214,Beyond,Mirage,3
657,2330214,ViCi,Inferno,4
658,2330211,Renegades,Cache,3
659,2330211,Grayhound,Mirage,4
660,2330212,GOSU,Mirage,3
661,2330212,MVP PK,Nuke,4
662,2330350,Liquid,Inferno,3
663,2330350,Astralis,Dust2,4
664,2330348,Ghost,Train,3
665,2330348,Astralis,Inferno,4
666,2330349,Liquid,Cache,3
667,2330349,fnatic,Mirage,4
668,2330256,Vitality,Mirage,3
669,2330256,North,Nuke,4
670,2330254,ENCE,Train,3
671,2330254,North,Inferno,4
672,2330253,Valiance,Cache,3
673,2330253,Vitality,Dust2,4
674,2330252,ENCE,Dust2,3
675,2330252,Valiance,Mirage,4
676,2330251,North,Nuke,3
677,2330251,Vitality,Dust2,4
678,2330246,Windigo,Overpass,3
679,2330246,North,Inferno,4
680,2330245,mousesports,Train,3
681,2330245,Valiance,Cache,4
682,2330243,mousesports,Train,3
683,2330243,OpTic,Nuke,4
684,2330244,ex-Space Soldiers,Mirage,3
685,2330244,North,Inferno,4
686,2330237,Valiance,Mirage,3
687,2330237,Vitality,Inferno,4
688,2330238,ENCE,Mirage,3
689,2330238,Windigo,Inferno,4
690,2330255,Winstrike,Nuke,3
691,2330255,Spirit,Overpass,4
692,2330250,AVANGAR,Dust2,3
693,2330250,Winstrike,Train,4
694,2330249,Spirit,Mirage,3
695,2330249,Gambit,Overpass,4
696,2330248,Winstrike,Cache,3
697,2330248,Gambit,Overpass,4
698,2330247,Spirit,Overpass,3
699,2330247,AVANGAR,Dust2,4
700,2330242,pro100,Inferno,3
701,2330242,AVANGAR,Dust2,4
702,2330241,Syman,Mirage,3
703,2330241,Gambit,Dust2,4
704,2330240,Runtime,Dust2,3
705,2330240,pro100,Cache,4
706,2330239,Gambit,Train,3
707,2330239,Nemiga,Inferno,4
708,2330232,Winstrike,Dust2,3
709,2330232,AVANGAR,Cache,4
710,2330231,Spirit,Dust2,3
711,2330231,Syman,Mirage,4
712,2330293,3DMAX,Inferno,3
713,2330293,Chaos,Overpass,4
714,2330291,SJ,Train,3
715,2330291,Chaos,Overpass,4
716,2330290,3DMAX,Inferno,3
717,2330290,AGO,Overpass,4
718,2330268,NeverPlay,Inferno,3
719,2330268,AGO,Mirage,4
720,2330267,Vega Squadron,Train,3
721,2330267,SJ,Overpass,4
722,2330202,x-kom,Mirage,3
723,2330202,NeverPlay,Inferno,4
724,2330201,Chaos,Overpass,3
725,2330201,AGO,Cache,4
726,2330180,ViCi,Overpass,3
727,2330180,SJ,Train,4
728,2330179,Vega Squadron,Mirage,3
729,2330179,3DMAX,Inferno,4
730,2330206,Izako Boars,Dust2,3
731,2330206,Endpoint,Overpass,4
732,2330205,x6tence Galaxy,Inferno,3
733,2330205,Valiance,Dust2,4
734,2330195,Arena Bulls,Cache,3
735,2330195,Izako Boars,Overpass,4
736,2330197,Endpoint,Mirage,3
737,2330197,HAVU,Dust2,4
738,2330196,Tricked,Overpass,3
739,2330196,Valiance,Cache,4
740,2330198,unknown,Cache,3
741,2330198,x6tence Galaxy,Overpass,4
742,2330194,unknown,Train,3
743,2330194,Flow,Cache,4
744,2330193,Endpoint,Overpass,3
745,2330193,EURONICS,Dust2,4
746,2330190,PACT,Cache,3
747,2330190,Tricked,Inferno,4
748,2330188,Izako Boars,Dust2,3
749,2330188,forZe,Mirage,4
750,2330191,x6tence Galaxy,Overpass,3
751,2330191,Spirit,Cache,4
752,2330189,Vitality,Inferno,3
753,2330189,Valiance,Mirage,4
754,2330192,Bpro,Train,3
755,2330192,HAVU,Dust2,4
756,2330187,Arena Bulls,Inferno,3
757,2330187,Smoke Criminals,Nuke,4
758,2330176,unknown,Nuke,3
759,2330176,EURONICS,Inferno,4
