,matchcode,map,team1,team2,score1,score2,eventcode,stars,date,mapnumber
3019,2327508,Inferno,North,FaZe,16,14,3374,3,20th of October 2018,1
3020,2327507,Dust2,Natus Vincere,Astralis,19,16,3374,5,20th of October 2018,1
3021,2327506,Overpass,FaZe,North,16,10,3374,3,20th of October 2018,1
3022,2327505,Overpass,Astralis,Natus Vincere,16,4,3374,5,20th of October 2018,1
3023,2327504,Overpass,Windigo,BIG,4,16,3374,1,20th of October 2018,1
3024,2327503,Overpass,Natus Vincere,G2,16,9,3374,2,20th of October 2018,1
3025,2327502,Nuke,BIG,Windigo,19,17,3374,1,20th of October 2018,1
3026,2327501,Inferno,G2,Natus Vincere,16,11,3374,2,20th of October 2018,1
3027,2327500,Inferno,FaZe,HellRaisers,9,16,3374,2,19th of October 2018,1
3028,2327499,Nuke,Astralis,Heroic,16,9,3374,2,19th of October 2018,1
3029,2327498,Overpass,HellRaisers,FaZe,19,17,3374,2,19th of October 2018,1
3030,2327497,Dust2,Heroic,Astralis,5,16,3374,2,19th of October 2018,1
3031,2327496,Overpass,fnatic,BIG,22,19,3374,1,19th of October 2018,1
3032,2327495,Nuke,North,G2,13,16,3374,2,19th of October 2018,1
3033,2327493,Inferno,G2,North,8,16,3374,2,19th of October 2018,1
3034,2327494,Train,BIG,fnatic,16,5,3374,1,19th of October 2018,1
3035,2327491,Inferno,fnatic,Natus Vincere,11,16,3374,1,19th of October 2018,1
3036,2327492,Inferno,mousesports,BIG,9,16,3374,3,19th of October 2018,1
3037,2327489,Overpass,Natus Vincere,fnatic,22,20,3374,1,19th of October 2018,1
3038,2327490,Dust2,BIG,mousesports,19,16,3374,3,19th of October 2018,1
3039,2327487,Nuke,NiP,North,9,16,3374,3,18th of October 2018,1
3040,2327485,Train,North,NiP,9,16,3374,3,18th of October 2018,1
3041,2327488,Train,Astralis,fnatic,16,4,3374,1,18th of October 2018,1
3042,2327486,Inferno,fnatic,Astralis,12,16,3374,1,18th of October 2018,1
3043,2327483,Train,North,Natus Vincere,19,17,3374,3,18th of October 2018,1
3044,2327481,Dust2,Natus Vincere,North,16,14,3374,3,18th of October 2018,1
3045,2327484,Dust2,ex-Space Soldiers,BIG,4,16,3374,1,18th of October 2018,1
3046,2327482,Inferno,BIG,ex-Space Soldiers,6,16,3374,1,18th of October 2018,1
3047,2327479,Overpass,Natus Vincere,FaZe,16,14,3374,3,18th of October 2018,1
3048,2327480,Train,NiP,BIG,5,16,3374,3,18th of October 2018,1
3049,2327477,Inferno,FaZe,Natus Vincere,14,16,3374,3,18th of October 2018,1
3050,2327478,Cache,BIG,NiP,13,16,3374,3,18th of October 2018,1
3051,2327476,Overpass,FaZe,BIG,16,11,3374,3,17th of October 2018,1
3052,2327475,Dust2,mousesports,Natus Vincere,8,16,3374,4,17th of October 2018,1
3053,2327473,Inferno,Natus Vincere,mousesports,11,16,3374,4,17th of October 2018,1
3054,2327474,Cache,BIG,FaZe,16,9,3374,3,17th of October 2018,1
3055,2327471,Dust2,fnatic,G2,10,16,3374,1,17th of October 2018,1
3056,2327472,Overpass,Astralis,HellRaisers,16,10,3374,2,17th of October 2018,1
3057,2327469,Cache,G2,fnatic,10,16,3374,1,17th of October 2018,1
3058,2327470,Train,HellRaisers,Astralis,7,16,3374,2,17th of October 2018,1
3059,2327467,Inferno,fnatic,FaZe,11,16,3374,1,17th of October 2018,1
3060,2327468,Inferno,G2,NiP,16,5,3374,2,17th of October 2018,1
3061,2327466,Overpass,NiP,G2,2,16,3374,2,17th of October 2018,1
3062,2327465,Mirage,FaZe,fnatic,5,16,3374,1,17th of October 2018,1
3063,2327464,Dust2,ex-Space Soldiers,FaZe,13,16,3374,1,16th of October 2018,1
3064,2327463,Inferno,Natus Vincere,NiP,16,11,3374,3,16th of October 2018,1
