,matchcode,team,map
420,2327012,Tricked,Train
421,2326944,Izako Boars,Train
422,2326944,Endpoint,Overpass
423,2327022,Odense,Inferno
424,2327022,Great Danes,Dust2
425,2326888,Gambit,Train
426,2326888,mousesports,Dust2
427,2327013,Winstrike,Mirage
428,2327013,forZe,Inferno
429,2327033,Underdogs,Inferno
430,2327033,Monolith,Mirage
431,2327011,Imperial,Cache
432,2327011,Chaos,Inferno
433,2327032,WASD,Train
434,2327032,No Quarter Cartel,Mirage
435,2327019,North,Train
436,2327019,Epsilon,Mirage
437,2327016,Monolith,Nuke
438,2327016,Nemiga,Inferno
439,2327021,Squared,Mirage
440,2327021,Lyngby Vikings,Inferno
441,2326887,NRG,Inferno
442,2326887,FaZe,Mirage
443,2327015,4ucToHano6egky,Cache
444,2327015,Underdogs,Nuke
445,2327000,SCARZ Absolute,Mirage
446,2327000,TYLOO,Inferno
447,2326999,ViCi,Train
448,2326999,CyberZen,Inferno
449,2326993,compLexity,Inferno
450,2326993,Bravado,Dust2
451,2326995,AZIO,Dust2
452,2326995,Gorilla Gang,Inferno
453,2326832,The Mad Lads,Cache
454,2326832,13th Hour,Mirage
455,2326886,fnatic,Inferno
456,2326886,Natus Vincere,Train
457,2326885,NRG,Overpass
458,2326885,Liquid,Dust2
459,2326884,G2,Inferno
460,2326884,FaZe,Mirage
461,2326990,Nexus,Mirage
462,2326990,Endpoint,Overpass
463,2326987,Movistar Riders,Mirage
464,2326987,LDLC,Overpass
465,2326943,fnatic Academy,Mirage
466,2326943,SuperJymy,Train
467,2326883,fnatic,Inferno
468,2326883,mousesports,Train
469,2326882,Gambit,Nuke
470,2326882,Natus Vincere,Inferno
471,2326986,Valiance,Inferno
472,2326986,Windigo,Dust2
473,2326971,Flash,Cache
474,2326971,GOSU,Mirage
475,2326984,Movistar Riders,Inferno
476,2326984,Tempo Storm,Dust2
477,2326970,ViCi,Train
478,2326970,TYLOO,Mirage
479,2326969,SCARZ Absolute,Mirage
480,2326969,CyberZen,Nuke
481,2326982,Gorilla Gang,Dust2
482,2326982,TeamOne,Train
483,2326831,Glockoma,Mirage
484,2326831,Dignitas fe,Train
485,2326981,FURIA,Cache
486,2326981,Bravado,Nuke
487,2326980,lmfao,Mirage
488,2326980,compLexity,Cache
489,2326950,PACT,Train
490,2326950,Ambush,Overpass
491,2326964,DreamEaters,Inferno
