,Unnamed: 0,team,teamcode,eventcode,placement
521,521,lfao,8378,3048,10th
522,522,torqued,5906,3048,11th
523,523,ex-morior-invictus,8523,3048,12th
524,524,iceberg,8398,3048,13th
525,525,naventic,8328,3048,14th
526,526,ex-denial,8476,3048,15th
527,527,bushido-boyz,7885,3048,16th
528,528,checksix,8351,3048,17th
529,529,muffin-lightning,7220,3048,18th
530,530,adaptation,5873,3048,19th
531,531,gorilla-core,7880,3048,20th
532,532,clg-academy,7878,3048,21st
533,533,good-people,8349,3048,22nd
534,534,mostly-harmless,6057,3048,23rd
535,535,weekend-warriors,8501,3048,24th
536,536,elite-wolves,7314,3330,1st
537,537,thunder-awaken,8559,3330,2nd
538,538,luccini,7316,3330,3-4th
539,539,katari,8558,3330,3-4th
540,540,heroic,7175,3122,1st
541,541,gambit,6651,3122,2nd
542,542,big,7532,3122,3rd
543,543,natus-vincere,4608,3122,4th
544,544,ago,8068,3122,5-8th
545,545,japaleno,7144,3122,5-8th
546,546,space-soldiers,5929,3122,5-8th
547,547,flipsid3,5988,3122,5-8th
548,548,tricked,4602,3122,9-12th
549,549,vega-squadron,6094,3122,9-12th
550,550,havu,7865,3122,9-12th
551,551,seed,8452,3122,9-12th
552,552,kinguin,6134,3122,13-16th
553,553,awtr,4804,3122,13-16th
554,554,hellraisers,5310,3122,13-16th
555,555,dignitas,5422,3122,13-16th
556,556,ldlc,4674,3122,17-20th
557,557,avangar,8120,3122,17-20th
558,558,godsent,6902,3122,17-20th
559,559,singularity,6978,3122,17-20th
560,560,epg,7489,3343,1st
561,561,pro100,7898,3343,2nd
562,562,venatores,7253,3343,3-4th
563,563,vexed,8020,3343,3-4th
564,564,epsilon,4688,3343,5-8th
565,565,ttfu,7864,3343,5-8th
566,566,dreameaters,8305,3343,5-8th
567,567,fantazeri,8459,3343,5-8th
568,568,vici,7606,3185,1st
569,569,scarz-absolute,7962,3185,2nd
570,570,flash,7660,3185,3rd
571,571,5power,7092,3185,4th
572,572,rte,7480,3185,5th
573,573,aerowolf,8207,3185,6th
574,574,wg,8143,3185,7th
575,575,themongolz,6248,3185,8th
576,576,wasd,7668,3311,1-2nd
577,577,tricked,4602,3311,1-2nd
578,578,kinguin,6134,3311,3-4th
579,579,passions,7124,3311,3-4th
580,580,seed,8452,3311,5-6th
581,581,elquvet,7427,3311,5-6th
582,582,alternate-attax,4501,3311,7-10th
583,583,epsilon,4688,3311,7-10th
584,584,team5,8392,3311,7-10th
585,585,pride,6896,3311,7-10th
586,586,nova,7787,3311,11-12th
587,587,resistance,7497,3311,11-12th
588,588,nu-pogodi,8552,3353,1st
589,589,mogul,8551,3353,2nd
590,590,rampage,8408,3346,1st
591,591,rekt,8256,3346,2nd
592,592,fractals,8255,3346,3rd
593,593,imperium,7837,3346,4th
594,594,rise-nation,7924,3274,1st
595,595,ghost,7801,3274,2nd
596,596,complexity,5005,3274,3-4th
597,597,gx,8372,3274,3-4th
598,598,luminosity,6290,3274,5-8th
599,599,rogue,7157,3274,5-8th
600,600,swole-patrol,7726,3274,5-8th
601,601,clg-green,8547,3274,5-8th
602,602,tempo-storm,6118,3274,9-16th
603,603,bushido-boyz,7885,3274,9-16th
604,604,splyce,6301,3274,9-16th
605,605,the-fundamentals,8084,3274,9-16th
606,606,miami-flamingos,7531,3274,9-16th
607,607,glockoma,8545,3274,9-16th
608,608,french-canadians,7616,3274,9-16th
609,609,the-legacy-of-jenume,8546,3274,9-16th
610,610,north-academy,7713,3272,1st
611,611,space-soldiers,5929,3272,2nd
612,612,ago,8068,3272,3-4th
613,613,mans-not-hot,8543,3272,3-4th
614,614,ldlc,4674,3272,5-8th
615,615,hellraisers,5310,3272,5-8th
616,616,seed,8452,3272,5-8th
617,617,sj,8504,3272,5-8th
618,618,bbsp,7751,3272,9-16th
619,619,aaa,5639,3272,9-16th
620,620,ares,8242,3272,9-16th
621,621,flipsid3,5988,3272,9-16th
622,622,royal-bandits,8263,3272,9-16th
623,623,vega-squadron,6094,3272,9-16th
624,624,kinguin,6134,3272,9-16th
625,625,red-reserve,7613,3272,9-16th
626,626,mexico,6272,3329,1st
627,627,kukulkan,8115,3329,2nd
628,628,aztek,8415,3329,3-4th
629,629,guat,8550,3329,3-4th
630,630,cloud9,5752,3165,1st
631,631,renegades,6211,3165,2nd
632,632,liquid,5973,3165,3-4th
633,633,optic,6615,3165,3-4th
634,634,nrg,6673,3165,5-6th
635,635,misfits,7557,3165,5-6th
636,636,clg,5974,3165,7-8th
637,637,luminosity,6290,3165,7-8th
638,638,toxic,8490,3344,1st
639,639,katjakajbentebent,8533,3344,2nd
640,640,deathrow,7695,3344,3-4th
641,641,maskinisterna,8458,3344,3-4th
642,642,skitlite,6263,3344,5-8th
643,643,loathe,8494,3344,5-8th
644,644,skrr-pop-pop-boom,8530,3344,5-8th
645,645,guccitiger,8531,3344,5-8th
646,646,isurus,7653,3328,1st
647,647,gale-force,8181,3328,2nd
648,648,dynasty,6630,3328,3-4th
649,649,keymotion,8123,3328,3-4th
650,650,extatus,6745,3339,1st
651,651,esuba,5412,3339,2nd
652,652,majestic-lions,6576,3339,3-4th
653,653,dark-tigers,7842,3339,3-4th
654,654,universe,7442,3339,5-6th
655,655,marvo,8524,3339,5-6th
656,656,gunrunners,4978,3339,7-8th
657,657,eclot,7441,3339,7-8th
658,658,optic,6615,2867,1st
659,659,sk,6137,2867,2nd
660,660,liquid,5973,2867,3rd
661,661,nrg,6673,2867,4th
662,662,misfits,7557,2867,5th
663,663,luminosity,6290,2867,6th
664,664,clg,5974,2867,7th
665,665,cloud9,5752,2867,8th
666,666,renegades,6211,2867,9th
667,667,splyce,6301,2867,10th
668,668,complexity,5005,2867,11th
669,669,immortals,7010,2867,12th
670,670,rogue,7157,2867,13th
671,671,ghost,7801,2867,14th
672,672,control-fe,8554,3348,1st
673,673,kings-fe,8553,3348,2nd
674,674,the-fundamentals,8084,3273,1-8th
675,675,gx,8372,3273,1-8th
676,676,miami-flamingos,7531,3273,1-8th
677,677,glockoma,8545,3273,1-8th
678,678,swole-patrol,7726,3273,1-8th
679,679,the-legacy-of-jenume,8546,3273,1-8th
680,680,clg-green,8547,3273,1-8th
681,681,bushido-boyz,7885,3273,1-8th
682,682,h00liganz,6356,3273,9-16th
683,683,vault,6366,3273,9-16th
684,684,hyper,7289,3273,9-16th
685,685,purge,8544,3273,9-16th
686,686,gorilla-core,7880,3273,9-16th
687,687,problematic,8548,3273,9-16th
688,688,velocity,8060,3273,9-16th
689,689,coffees-bois,8549,3273,9-16th
690,690,aaa,5639,3271,1-8th
691,691,ares,8242,3271,1-8th
692,692,royal-bandits,8263,3271,1-8th
693,693,red-reserve,7613,3271,1-8th
694,694,north-academy,7713,3271,1-8th
695,695,sj,8504,3271,1-8th
696,696,bbsp,7751,3271,1-8th
697,697,mans-not-hot,8543,3271,1-8th
698,698,sherifi,8043,3271,9-16th
699,699,bpro,6762,3271,9-16th
700,700,fragsters,6855,3271,9-16th
701,701,singularity,6978,3271,9-16th
702,702,seal,8361,3271,9-16th
703,703,valiance,8481,3271,9-16th
704,704,lin4evateli,8542,3271,9-16th
705,705,teamasd,7819,3271,9-16th
706,706,best-boniatos-ever,8522,3340,1st
